id,device,phase,batch,selection,channel,start_s,end_s,mean_mV,std_mV,detrended_std_mV,span95_mV,peak_to_peak_mV,slope_mV_min,step_rms_mV,slow_rms_mV,signal_rms_mV,fast_rms_mV,edge_rms_mV,line33_rms_mV,fast_ppm,line33_fraction_pct,fast_excluding33_rms_mV,dominant_fast_Hz,top_peaks_Hz
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,full,Ut1,0.0,61.11,1645.1618245295367,1.298194285162685,0.7477596371437881,2.590265424726738,5.798340000000053,3.6090663373260443,0.1908447443574094,0.09782067938046611,0.1268482273815327,0.16918252206929835,0.045296431188447596,0.037621580654518406,102.83640159087639,4.944963460620315,0.16494648357204886,40.0,"40.0,20.0,19.5,33.3,18.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,full,Ut2,0.0,61.11,1455.5036657257403,5.09003512962164,0.7075342898914355,2.4409514880978804,18.768310000000156,-17.142653285971747,0.1803781359236422,0.02782870294210732,0.12080386693724565,0.16049599997825328,0.05041516551015446,0.044260283174968294,110.26835847797545,7.605012817837677,0.15427246462765512,33.300000000000004,"33.3,19.5,39.0,41.4,29.3"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,full,Uc1,0.0,61.11,852.5272752520458,0.7767244255687746,0.3821214721997768,1.2855465101065136,2.8762810000000627,2.2984685558075735,0.09545180664032507,0.05422349863312591,0.10745363664883498,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,full,Uc2,0.0,61.11,754.4795660720131,2.5744714843987238,0.35699955381763016,1.2219617706986696,9.201054,-8.665974897878936,0.08049704242277098,0.031605025281753976,0.09171005958123897,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first60,Ut1,0.0,60.0,1645.1030225433335,1.2350898420147658,0.7288980768840695,2.5805042010681802,5.798340000000053,3.453674298288814,0.1911725056996423,0.09782067938046611,0.1268482273815327,0.16918252206929835,0.045296431188447596,0.037621580654518406,102.84007733919408,4.944963460620315,0.16494648357204886,40.0,"40.0,20.0,19.5,33.3,18.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first60,Ut2,0.0,60.0,1455.6362788299998,5.041686047726885,0.6854936551853471,2.360639434975967,18.692019999999957,-17.301285234110445,0.1798473820266881,0.02782870294210732,0.12080386693724565,0.16049599997825328,0.05041516551015446,0.044260283174968294,110.25831267908184,7.605012817837677,0.15427246462765512,33.300000000000004,"33.3,19.5,39.0,41.4,29.3"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first60,Uc1,0.0,60.0,852.4939348633333,0.7432293395606487,0.37379586230243333,1.292355536232324,2.8686519999998836,2.2234564211342844,0.09550338552711778,0.05422349863312591,0.10745363664883498,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first60,Uc2,0.0,60.0,754.5463309133333,2.5498149977821307,0.3467996826374728,1.1667195889422848,9.170534000000089,-8.743456105111896,0.08054805414302267,0.031605025281753976,0.09171005958123897,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first30,Ut1,0.0,30.0,1644.2609666266667,0.27695488523687345,0.24343187762276883,0.9955683532234163,2.288819999999987,-0.9149194423491674,0.19003023417827322,0.10194812217502844,0.12384908416360571,0.1703494467102142,0.045036991218653254,0.033385691225324365,103.60243913087578,3.840955628504034,0.16704589074827136,40.0,"40.0,20.0,19.5,18.0,9.8"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first30,Ut2,0.0,30.0,1459.9262746133331,3.1893351033106017,0.3322289409767705,1.2049237473893926,11.978150000000142,-21.97248783960185,0.17602987841182394,0.026884966282519546,0.12626675696590853,0.16039515922578987,0.05230283134036715,0.03852078809011676,109.86524594762233,5.767768400780737,0.15570085416587412,19.5,"19.5,39.0,33.3,26.7,41.4"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first30,Uc1,0.0,30.0,851.9490816666666,0.12173721395482155,0.12171159304449884,0.4890186344109054,0.8010829999999487,-0.017274246067986793,0.09370456481357223,0.05104995195212622,0.10814026247585061,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,first30,Uc2,0.0,30.0,756.7153931733334,1.6131638053777975,0.16320056198268842,0.6105401358133884,5.783086000000026,-11.100499490348609,0.07733569936405506,0.027457886115367394,0.08474996180255077,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,last60,Ut1,1.11,61.11,1645.171394605,1.3078748909365854,0.7317825577174457,2.5260457082858463,5.798340000000053,3.754733353025985,0.1904822739789905,0.09543609913500074,0.1274227034655545,0.16911489296490517,0.04547761986903437,0.038102249812889864,102.79469574992767,5.076186035750937,0.16476670046379963,40.0,"40.0,20.0,33.3,19.5,18.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,last60,Ut2,1.11,61.11,1455.3144709616668,4.941221625118011,0.67423266786431,2.3281826436462656,17.929070000000138,-16.955384493435755,0.18083332162008006,0.02787380562679662,0.11975310736981432,0.16092477408430686,0.05086437900181834,0.04495440809272647,110.57732008805515,7.803667404062875,0.1545182322805882,33.300000000000004,"33.3,19.5,39.0,41.4,29.3"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,last60,Uc1,1.11,61.11,852.5367738833332,0.782543542155329,0.3772445728522891,1.2775793293024433,2.89917000000014,2.373045628626707,0.10908290706622102,0.05324926382879993,0.11645103484965644,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,last60,Uc2,1.11,61.11,754.3830237416666,2.498576448636861,0.33884084408515586,1.169346673292651,8.850099999999998,-8.568225973377755,0.07769030510618398,0.029850584338375126,0.09017860922099236,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,seconds30to60,Ut1,30.0,60.0,1645.9450784599999,1.2474410937771352,0.32908750011038396,1.2752728945858223,5.5694599999999355,8.334971885629763,0.19233715186986652,0.10098400896892487,0.1281518787269549,0.17029124975969256,0.04506414388046658,0.040442662841801875,103.46107655002841,5.6402041032779575,0.16541916686703004,40.0,"40.0,20.0,33.3,37.5,38.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,seconds30to60,Ut2,30.0,60.0,1451.3462830466665,1.9630111025424868,0.26019185942908096,0.9966341764800347,7.781979999999976,-13.477895327493055,0.1836122496826594,0.028965409703612267,0.11546145065585968,0.16269575648624066,0.05023558785376753,0.05042012938008434,112.09988848747363,9.604073174368208,0.1546858743774805,33.300000000000004,"33.3,19.5,29.3,41.4,9.8"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,seconds30to60,Uc1,30.0,60.0,853.0387880599999,0.7043376178108087,0.1695340912725418,0.6323691116871542,2.63977199999988,4.728451831422436,0.09742512597519921,0.06057738139765739,0.10795810240295153,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,seconds30to60,Uc2,30.0,60.0,752.3772686533333,0.9906701274764608,0.13349221136136044,0.4845248486843216,3.5858180000000175,-6.789659591061794,0.08370862195787872,0.034991571787112256,0.09721683286514936,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,full,Ut1,0.0,64.75,1288.5306810208494,0.7292272045008455,0.7268102989721199,3.122582173069941,4.882810000000063,-0.19040777811537515,0.32353577800593986,0.328853295944734,0.13485198991645733,0.2784811526560762,0.06324331793354444,0.2163607492677354,216.12302815750348,60.362238613910876,0.17532763205199844,33.300000000000004,"33.3,20.0,40.0,26.7,6.7"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,full,Ut2,0.0,64.75,1149.3906852772202,0.5726889803131896,0.5652917831883755,2.286295424781849,4.1198799999999665,-0.2944893703565029,0.3296809118804391,0.21168316909174956,0.13694240629912827,0.28203843796041167,0.06808900297362937,0.21559990107997323,245.38082792308964,58.436004395240374,0.181830589124753,33.300000000000004,"33.3,40.0,26.7,6.7,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,full,Uc1,0.0,64.75,669.693959935085,0.3640674658388743,0.3634733329200864,1.6002638603234574,2.2125239999999167,0.06673792726506157,0.1249324901532051,0.17731789020695302,0.12212999138805224,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,full,Uc2,0.0,64.75,597.3155925146832,0.2502733478896404,0.24635180897145845,0.8916345552318035,1.419065000000046,-0.14165922205112277,0.10905189452829955,0.11078954875806223,0.11454184231940628,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first60,Ut1,0.0,60.0,1288.4781772816666,0.7254018513856055,0.7055622425779957,3.0134531398195463,4.882810000000063,-0.5836269733575012,0.32956015214837103,0.328853295944734,0.13485198991645733,0.2784811526560762,0.06324331793354444,0.2163607492677354,216.1318348779446,60.362238613910876,0.17532763205199844,33.300000000000004,"33.3,20.0,40.0,26.7,6.7"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first60,Ut2,0.0,60.0,1149.4426091300002,0.5529880636624704,0.5528777020970782,2.3005133327938037,4.1198799999999665,-0.03826613221719608,0.330441612179485,0.21168316909174956,0.13694240629912827,0.28203843796041167,0.06808900297362937,0.21559990107997323,245.36974331748786,58.436004395240374,0.181830589124753,33.300000000000004,"33.3,40.0,26.7,6.7,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first60,Uc1,0.0,60.0,669.6599322866667,0.3529031397736335,0.35061051638020563,1.4604796621706748,2.2125239999999167,-0.13900538919304783,0.12694590693667662,0.17731789020695302,0.12212999138805224,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first60,Uc2,0.0,60.0,597.3377358266666,0.2429240748954587,0.2426941085435908,0.9247415623241464,1.419065000000046,-0.03657704613651278,0.11032427401034157,0.11078954875806223,0.11454184231940628,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first30,Ut1,0.0,30.0,1288.6811827133333,0.6211475484095045,0.6033908373894783,2.3141004900476734,3.509520000000066,-1.0214467090941843,0.40977834348964604,0.25930991056743224,0.1277930263289454,0.3479757453049415,0.06176450634533494,0.30381867614042124,270.0246965446291,76.23088937096244,0.16965061552735777,33.300000000000004,"33.3,20.0,26.7,29.3,6.7"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first30,Ut2,0.0,30.0,1149.4244637866666,0.4540484597122322,0.3595909760155855,1.470308964871322,3.356939999999895,1.9203590184362846,0.28651116062142595,0.18673853149687142,0.1267675058682973,0.2350758545170752,0.052165092740778136,0.1782587040799525,204.51613996681502,57.502330027525296,0.15324650663773393,33.300000000000004,"33.3,40.0,6.7,26.7,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first30,Uc1,0.0,30.0,669.7262064600001,0.2957523768569724,0.2932235046997015,1.1039947725699362,1.571649999999977,-0.26693787024250004,0.16140187141003604,0.1409249057336734,0.14960299879974653,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,first30,Uc2,0.0,30.0,597.3454289266667,0.23110390577627316,0.18051409690170764,0.717143083815796,1.213072000000011,0.9981060730012155,0.14310662326467902,0.09485172107015044,0.14125114203577657,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,last60,Ut1,4.75,64.75,1288.5160318216665,0.7426761861707879,0.7414123452763476,3.211666886622936,4.882810000000063,-0.15001356820702114,0.312246871236836,0.3182688841948631,0.13715093601340403,0.26457596941762146,0.06276928012272477,0.1958591454241941,205.33385917098107,54.800802505173586,0.17787534609095929,33.300000000000004,"33.3,40.0,20.0,26.7,6.7"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,last60,Ut2,4.75,64.75,1149.40706886,0.5807250061702448,0.5645293083559194,2.4014373226982797,4.1198799999999665,-0.47174275127468435,0.3325038198780165,0.20139585737870944,0.14083373027958013,0.28482101465315546,0.0683197042957688,0.21880098499779102,247.79821037262755,59.01392318529387,0.18234346533958773,33.300000000000004,"33.3,40.0,26.7,6.7,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,last60,Uc1,4.75,64.75,669.6949893416667,0.36955316079948874,0.36881286108107,1.6230229743189284,2.136231000000066,0.08092238160119614,0.1042393385961354,0.17092959913455158,0.10878022821453948,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,last60,Uc2,4.75,64.75,597.3223371266666,0.2572048563700859,0.24918944242344518,0.9271305430848258,1.4800999999998794,-0.22051411513937877,0.12141429426457775,0.10684902006002214,0.1208175717966214,,,,,,,,
