device,phase,channel,first10_mean,last10_mean,mean_change_mV,max_1s_mean_step_mV,step_time_s,off_comb_rms_mV,median_off_comb_asd,fast_512_mV
论文腕表,佩戴静息,Ut1,1644.4384773499999,1647.6689909699999,3.2305136200000106,0.41961659999969925,54,0.13586653845192267,0.016241128236595875,0.16962139135848828
论文腕表,佩戴静息,Ut2,1463.72665435,1449.0051272599999,-14.721527090000109,-0.6057740000001104,1,0.14440687723358805,0.01821094946555186,0.16312425294293934
论文腕表,稳定静置,Ut1,1288.80905132,1288.8805388500002,0.07148753000024044,-1.1108400999999049,39,0.1380697837974877,0.01819150137006876,0.2796447363394854
论文腕表,稳定静置,Ut2,1149.07386726,1148.7054440699999,-0.3684231900001578,0.8926381999999649,56,0.13689125722016918,0.019346670855030015,0.2799639394462879
论文腕表,开机长记录,Ut1,1377.2654723900002,1282.08053543,-95.18493696000019,-0.9742729000004147,9,0.18002682331103895,0.024993704424724063,0.46859016670527853
论文腕表,开机长记录,Ut2,1295.7112885400002,1146.52809131,-149.18319723000013,-1.2710582000001978,6,0.13190768199300498,0.019768514081160374,0.24558828424339543
项目腕表,佩戴静息,Ut1,1969.8850250900002,2014.98649572,45.10147062999977,11.11221310000019,47,0.27147809037712817,0.03050123873085074,0.5144044570946816
项目腕表,佩戴静息,Ut2,1577.96173105,1600.29701238,22.335281330000043,1.285552800000005,27,0.24138207633193157,0.03134522269704736,0.5698566001597468
项目腕表,稳定静置,Ut1,1482.4534608800002,1484.08424346,1.6307825799997318,1.0826105999999527,30,0.27964223903963453,0.03288644088305044,0.592216138909112
项目腕表,稳定静置,Ut2,1296.8993377999998,1293.40972893,-3.4896088699997563,1.3641364999998586,63,0.1562062060533842,0.015215880891274285,0.2800232203316009
项目腕表,开机长记录,Ut1,1495.93368518,1482.3302463600003,-13.603438819999838,1.2390136999999868,347,0.21346948318344933,0.025230303453498405,0.4250775575204237
项目腕表,开机长记录,Ut2,1354.3701938,1297.83035297,-56.53984083,1.3664249999999356,407,0.18614389001599355,0.021017489880360955,0.349828047019937
