id,device,phase,batch,channel,start_s,acc_rms_g,mean_mV,std_mV,detrended_std_mV,span95_mV,peak_to_peak_mV,slope_mV_min,step_rms_mV,slow_rms_mV,signal_rms_mV,fast_rms_mV,edge_rms_mV,line33_rms_mV,fast_ppm,line33_fraction_pct,fast_excluding33_rms_mV,dominant_fast_Hz,top_peaks_Hz
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut1,0.0,0.0031964469043227603,1644.4384773499999,0.27709430938756335,0.27672434093359105,1.129643223820028,2.1362300000000687,-0.2973657668511566,0.19601896867670737,0.19369156801694112,0.12739292761275392,0.17170579062040314,0.041608279870141915,0.032151233727490576,104.41606237352565,3.506108906759281,0.1686688373777978,40.0,"40.0,20.0,19.5,29.3,9.8"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut2,0.0,0.0031964469043227603,1463.72665435,1.2803011880393194,0.1964849188066969,0.7823020494243678,5.340580000000045,-26.2821849195893,0.1656603628114075,0.022605852822661893,0.12338294034017497,0.13966889909380167,0.042695066454977615,0.033876854107192954,95.42006950459252,5.883106735709338,0.135498192349103,22.6,"22.6,37.5,18.0,42.0,41.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc1,0.0,0.0031964469043227603,851.9647225900001,0.13250579098584117,0.12966534650911546,0.45673916611767373,0.6561319999999569,0.5643737137706463,0.08903929094879076,0.0898367193865686,0.10258262061515595,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc2,0.0,0.0031964469043227603,758.6410522200001,0.6420115941573598,0.09187392936394106,0.3500553219903366,2.380374000000188,-13.141079323128599,0.07523112549491227,0.020685313861789466,0.08905258929974454,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut1,10.0,0.0031204458557640225,1644.21241818,0.22168624785396948,0.21634521143553365,0.9093593118473904,1.6784700000000612,-1.0048245923373862,0.18822496684630374,0.03939120470121668,0.11792078464242038,0.15819461264869883,0.041860577584057604,0.031502844093995654,96.21300198170653,3.9656661379245617,0.15502614710125923,40.0,"40.0,20.0,19.5,33.3,38.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut2,10.0,0.0031204458557640225,1459.64965802,1.0789148991268178,0.2188590356019797,0.8943471386176383,4.882809999999836,-21.947632967392533,0.18084415029354667,0.04291480417664406,0.13406054807035578,0.17943620246832975,0.0607767683691632,0.042336742436053086,122.93100709641048,5.5669168984298,0.1743701551188125,39.0,"39.0,19.5,42.5,21.9,33.3"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc1,10.0,0.0031204458557640225,851.9257352,0.10458033200422723,0.10429750542217263,0.4595917848532195,0.5798320000000103,-0.15895986318685087,0.08888749055392635,0.024679503289767347,0.10440943613800206,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc2,10.0,0.0031204458557640225,756.5687567599997,0.542209054187415,0.08859085575938042,0.3539028833663393,1.8920899999998255,-11.062982682266577,0.0726624764915065,0.03585414439629772,0.08563552925643746,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut1,20.0,0.002994091259944837,1644.13200435,0.23192824744808377,0.22285347889221976,0.9556573625482598,1.6784700000000612,-1.3345784763024455,0.18581053851335258,0.06761928913472118,0.1229261834558589,0.16688655495361485,0.04607745351688149,0.03701504732592858,101.5043527600405,4.919420185323831,0.16272986356457494,40.0,"40.0,20.0,18.0,33.3,38.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut2,20.0,0.002994091259944837,1456.4025114700003,0.8771761209268516,0.21071537733407944,0.8486846078200982,5.645750000000135,-17.689066423671804,0.1812063853623737,0.012686398908630303,0.11956180275390076,0.14819720636407116,0.05055681787216948,0.04051456478108377,101.75566520720312,7.473814630812059,0.14255168190770132,19.5,"19.5,39.0,33.3,42.0,41.4"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc1,20.0,0.002994091259944837,851.95678721,0.12412397974070238,0.1232708655399672,0.5185754136738066,0.7781949999998687,-0.3004554563489798,0.10327598858727663,0.042483503490267485,0.11632693264448593,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc2,20.0,0.002994091259944837,754.9363705399999,0.43481684598388,0.09566298179739131,0.383361752469787,1.5563960000000634,-8.772310761473886,0.08438806433042954,0.026341958215367,0.08857341943675691,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut1,30.0,0.0030687553431442867,1644.6842957899999,0.4650843509445004,0.23820725868533993,1.0176122522113757,2.288819999999987,8.298276022715681,0.1913180227675499,0.09978540140520914,0.13394717236799447,0.17428463225201296,0.05421588894157792,0.03891976954724865,105.96844190592694,4.986804369400288,0.1698834440950867,20.0,"20.0,40.0,39.0,33.3,38.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut2,30.0,0.0030687553431442867,1453.67431638,0.7594109396848386,0.20063707109469917,0.853371915663655,3.662109999999984,-15.215609529216852,0.17129690627240965,0.017498982718991734,0.11387333740357503,0.14514442462537994,0.04239812648407505,0.03961311471535192,99.84659080090553,7.448644838672546,0.13963418328754948,33.300000000000004,"33.3,41.4,17.5,29.3,6.7"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc1,30.0,0.0030687553431442867,852.31346184,0.23741769359697915,0.11190719356806958,0.43815415668011604,0.892641000000026,4.330479431144488,0.08665153104426622,0.07445647244910973,0.08823165405915742,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc2,30.0,0.0030687553431442867,753.5618594800002,0.36435821093623094,0.09828104290040489,0.3685866711880919,1.4495879999999488,-7.256149645365637,0.08117773207553541,0.04026116688793276,0.09881705046430321,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut1,40.0,0.0031678411706083645,1645.69930998,0.33410393997033266,0.2160077211668759,0.9190035869585415,1.9073499999999513,5.295027945749704,0.19273687904041595,0.017954248176218664,0.12203942514032744,0.16572944695070888,0.03679704075460893,0.03846612783382594,100.70457339665711,5.387131526143163,0.16120361843351902,40.0,"40.0,20.0,19.5,21.0,33.3"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut2,40.0,0.0031678411706083645,1451.1785126200002,0.7581833208018157,0.22125843041617974,0.9727108221591947,4.196170000000166,-15.065061528016084,0.20358670697691772,0.0263458974818634,0.11033468403556988,0.17586920540174306,0.05406067360174257,0.05448499733486739,121.1906074079223,9.597856782627993,0.16721651376003502,33.300000000000004,"33.3,39.0,19.5,41.4,37.5"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc1,40.0,0.0031678411706083645,852.91381795,0.18087745649734716,0.105913501358847,0.46767798953961787,0.9384229999999434,3.03242563816543,0.09435783677547334,0.02770003329939312,0.09863310122643272,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc2,40.0,0.0031678411706083645,752.2792047599999,0.3746650758461649,0.09250167219843285,0.3544369249821584,1.4038079999999127,-7.508747333932541,0.08176243768963326,0.011439511345397686,0.09490144271617537,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut1,50.0,0.003033319636608124,1647.45162961,0.6480117558222429,0.2736302790926987,1.102964473869525,3.2806399999999485,12.202902694781379,0.19290278056848012,0.16273690985665593,0.12758895154123712,0.16304725052261954,0.04060916695148488,0.048565615715071876,98.96937038522799,8.872190104196106,0.1556463519431208,40.0,"40.0,20.0,33.3,19.8,38.0"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Ut2,50.0,0.003033319636608124,1449.18602014,0.5400543424439515,0.1946457632404851,0.8699989209077952,3.051759999999831,-10.465173817173433,0.17369530263181215,0.013790145603743911,0.1126600478612345,0.1501915639414719,0.04133565243718426,0.05434889043910865,103.63856803349684,13.094541159746885,0.1400132279008773,33.300000000000004,"33.3,19.5,29.3,9.8,48.8"
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc1,50.0,0.003033319636608124,853.8890843900001,0.3629300581258644,0.1472392666162731,0.5994648410215829,1.3504019999998036,6.860474581458513,0.1106151680312819,0.09049442959271317,0.12655987866656873,,,,,,,,
0915_论文腕表_佩戴静息,论文腕表,佩戴静息,0915,Uc2,50.0,0.003033319636608124,751.2907417199999,0.2671499107480385,0.10995448119681421,0.4511057990148031,1.0681160000000318,-5.035376388839083,0.08874840559068925,0.04699604180755068,0.1143767037676762,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut1,0.0,0.0012603645091243843,1288.80905132,0.5273128416747097,0.4762020104676083,1.8396718785089547,3.0517499999998563,4.70482212634587,0.43499288310632733,0.2825803146605576,0.1548261347830061,0.3593472901225744,0.059103209808916125,0.3202918565135807,278.8212029970851,79.44435534192286,0.1629220720759513,33.300000000000004,"33.3,20.0,26.7,39.0,6.7"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut2,0.0,0.0012603645091243843,1149.07386726,0.42182861298568525,0.4177205039696238,1.619868113727341,3.2043499999999767,-1.2200253908288219,0.2828826672177198,0.34546357212151296,0.1350574591526804,0.23108847321584877,0.05157813269693202,0.17699610751365707,201.10845768939637,58.663890926358164,0.14857409053481027,33.300000000000004,"33.3,26.7,40.0,6.7,19.8"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc1,0.0,0.0012603645091243843,669.7361758400001,0.24314718163212484,0.20886691941289007,0.7307763223221995,1.144416000000092,2.5744190819084998,0.16229746590090877,0.14937991107979331,0.1479744450112487,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc2,0.0,0.0012603645091243843,597.16445923,0.22016554485966233,0.21769366505555865,0.837861209796986,1.0833789999999226,-0.6803965544569174,0.15739530144589817,0.16756625339176565,0.14556983103781473,,,,,,,,
