ppg,state,channel,total_rms_mV,b20_rms_mV,b40_rms_mV,b33_rms_mV,other_rms_mV
PPG关闭,复位,Ut1,0.05335280196159606,0.014516718071057583,0.014050011358229348,0.00864585838930637,0.04937999143815584
PPG关闭,复位,Ut2,0.05006372490427707,0.012015277775676058,0.01130421683611762,0.008597228777953039,0.047267582262968684
PPG关闭,连接,Ut1,0.6738404296507099,0.10837136379215344,0.15502319765659395,0.5471844257141892,0.646749086068165
PPG关闭,连接,Ut2,0.21046050540554812,0.05473271882866529,0.04949738004627966,0.1239961957062246,0.19709886654604375
PPG开启,复位,Ut1,0.16451184256823725,0.09977876026208676,0.10165054743810621,0.009509761372139729,0.08231349555990689
PPG开启,复位,Ut2,0.19801374874804067,0.12441942408328598,0.1229380742885417,0.007782229569945871,0.09281961804629782
PPG开启,连接,Ut1,0.3775419138229816,0.14145202943246926,0.1329776199904978,0.2308718517198712,0.3237995871588138
PPG开启,连接,Ut2,0.3444516745793759,0.13490119917702836,0.12560269519426615,0.20259277856402552,0.2909855418076167
