channel,window,mean_mV,sd_raw_mV
Ut1,末60秒,1430.3734457150003,0.20782165563300228
Ut1,固定2秒,1430.4985031,0.19229795072401926
Ut2,末60秒,1448.5211439783332,0.23067220827860646
Ut2,固定2秒,1448.6576084,0.20266424761103222
