channel,threshold_mV_min,first_sustained_mcu_s,sustained_to_end_mcu_s,tail60_slope_mV_min
Ut1,5.0,122.87299999999999,122.87299999999999,-0.23616375382365537
Ut1,1.0,343.873,343.873,-0.23616375382365537
Ut1,0.5,740.873,740.873,-0.23616375382365537
Ut2,5.0,108.87299999999999,108.87299999999999,-0.26939718874236174
Ut2,1.0,178.873,178.873,-0.26939718874236174
Ut2,0.5,544.873,544.873,-0.26939718874236174
