dataset,channel,start_mcu_s,mean_mV,sd_raw_mV,slope_mV_min,rms_mV,rms_20,rms_40,rms_33,rms_05_5,peaks_Hz
修订后,Ut1,17.872999999999998,1451.6659038066666,2.7187513807079537,-17.794258563331095,0.16055109421653838,0.0468861396976407,0.045028362341321605,0.010581081165987223,0.12347118117547251,2.4;4.0;1.6;3.2;20.0;0.8;4.8;40.0
修订后,Ut2,17.872999999999998,1465.6024677133335,3.276102272307941,-22.433088366750958,0.17926188139991991,0.04640929812816589,0.044961446132122475,0.03207452599135451,0.12641629081666916,2.4;4.0;1.6;3.2;0.8;4.8;16.8;43.2
修订后,Ut1,47.873,1446.6340637266667,0.9984777647677279,-6.8136165547505145,0.16697725869267577,0.047672343514962016,0.04491199202514295,0.0197805388776703,0.12850406242732984,2.4;3.9;1.6;3.1;0.8;4.7;20.0;43.1
修订后,Ut2,47.873,1458.6218262799996,1.1192221565563554,-7.575172847605607,0.18898807915720456,0.04872792859355501,0.047851313416224124,0.03315252438431515,0.13471104597243339,2.4;3.9;1.6;3.1;0.8;4.7;33.3;43.1
修订后,Ut1,77.87299999999999,1443.7003582466666,0.7400023479914141,-4.9804109702065835,0.17321078971276252,0.051541921137078915,0.04617902275210691,0.024677928592746895,0.13300840833326402,2.2;3.7;1.5;3.0;4.5;20.0;0.7;43.0
修订后,Ut2,77.87299999999999,1456.1541745833333,0.4842271730783078,-3.0869117399390826,0.18409727961717098,0.04863292720168479,0.04442800394812819,0.035276930301612094,0.13612644353071407,2.2;3.7;1.5;3.0;4.5;0.7;33.3;43.0
修订后,Ut1,107.873,1441.5892536166668,0.5436859440523323,-3.56242605466962,0.1745915185715896,0.050113622230707734,0.048349171786319096,0.02402775666797603,0.135538598458598,2.2;3.7;1.5;2.9;4.4;0.7;20.0;22.9
修订后,Ut2,107.873,1455.07130889,0.29338547642546714,-1.4937225934254577,0.19775498876206005,0.05047051504378143,0.04862298402538831,0.06528231775315214,0.139035946536252,2.2;3.7;33.3;1.5;2.9;4.4;0.7;17.1
修订后,Ut1,137.873,1440.0564831366669,0.41730723682641696,-2.6203030335354636,0.1762001002367799,0.048849207053137264,0.048292415284869716,0.02285868833982167,0.1373227544370451,2.1;3.6;1.4;2.8;0.7;4.3;20.0;21.4
修订后,Ut2,137.873,1454.4864660033336,0.25198510666965196,-0.9681982408449927,0.20937161022976966,0.04783441983235861,0.053712961785425756,0.07683156684604546,0.1449096242590594,2.1;33.3;1.4;3.6;2.8;0.7;4.3;17.2
修订后,Ut1,167.873,1438.9013666633336,0.3431453462539178,-2.0294050396140326,0.1772804409889725,0.049953888783293134,0.050133567102245834,0.01022310529969561,0.13927052011703248,2.1;3.5;1.4;2.8;0.7;4.2;20.0;37.2
修订后,Ut2,167.873,1454.0597538366665,0.24474002666762606,-0.9080226437865572,0.20538859500907863,0.05461912633277583,0.05074740208905607,0.07644073633293398,0.14354311416682913,2.1;33.3;3.5;1.4;2.8;0.7;4.2;18.6
