channel,window,start_s,end_s,median_advance_samples,r,rmse_mV,nrmse_pct,rms_ratio,regression_gain
Ut1,全段去边缘5秒,5.02,80.54,0,0.997580048158862,0.17336567444800438,6.955175989814713,0.999422872865193,0.9970043123186474
Ut1,全段去边缘5秒,5.02,80.54,1,0.998905299634254,0.11660726969162613,4.678112232881997,0.9994228312755403,0.9983287579825961
Ut1,运动20秒,58.02,78.02000000000001,0,0.9961921016694186,0.15856237311880672,8.741305497721447,0.9899299815306202,0.9861328379384277
Ut1,运动20秒,58.02,78.02000000000001,1,0.9983373821417596,0.10567481942764682,5.825694090372114,0.9899299439519865,0.9882548862344421
Ut1,低运动10秒,19.02,29.020000000000003,0,0.2171256908372599,0.11434111668610683,101.04073508270214,0.47790601648100817,0.10375172460662115
Ut1,低运动10秒,19.02,29.020000000000003,1,0.20504287271098362,0.11493435794728474,101.56496936384318,0.476221350913196,0.09763565062804848
Ut1,全段去边缘3秒,3.02,82.54,0,0.9975244936099348,0.17088720920273262,7.034415288075547,0.9993724899394412,0.9968985371131444
Ut1,全段去边缘3秒,3.02,82.54,1,0.9988521880784407,0.11636781486955401,4.790174406717656,0.999372489678568,0.9982253980224268
Ut1,全段去边缘10秒,10.02,75.54,0,0.9977054100416916,0.18072088934090735,6.77358504793929,0.9997622718060062,0.9974681998406189
Ut1,全段去边缘10秒,10.02,75.54,1,0.9990290164044175,0.11756206647404244,4.406334312417348,0.9997715897181025,0.9988009477341494
Ut1,连续10秒_5,5.02,15.02,0,0.02296851998127253,0.11784807274715989,110.79479617480656,0.5007402530541691,0.011496207262203333
Ut1,连续10秒_5,5.02,15.02,1,0.014287871898867682,0.11826515634486204,111.18691707350305,0.5007556153075521,0.007151582114716312
Ut1,连续10秒_15,15.02,25.020000000000003,0,0.26045392183427185,0.10500371578492813,100.92258524168284,0.5545809495218197,0.14438181701793978
Ut1,连续10秒_15,15.02,25.020000000000003,1,0.2671964036521796,0.10460673211709595,100.54103095327642,0.5542443018470021,0.1480205760302747
Ut1,连续10秒_25,25.02,35.019999999999996,0,0.9980958654991053,0.22518267061424055,6.186651262819207,0.9940389790598337,0.9920032747491242
Ut1,连续10秒_25,25.02,35.019999999999996,1,0.9992983233498204,0.1370923200049306,3.7664637885668726,0.9954239626764801,0.9946784422027214
Ut1,连续10秒_35,35.02,45.019999999999996,0,0.9986081076090623,0.25728030790855944,5.303499485935868,1.0040230452348875,1.002561786974662
Ut1,连续10秒_35,35.02,45.019999999999996,1,0.999621235245996,0.1346893756023143,2.7764465927247604,1.0032768885601697,1.002881306296614
Ut1,连续10秒_45,45.02,55.019999999999996,0,0.9858813554003512,0.1366046790340343,16.8118811281221,1.0002200745146672,0.9862374245011352
Ut1,连续10秒_45,45.02,55.019999999999996,1,0.9911443841249719,0.10815007973791185,13.309985407584058,1.0000918814315205,0.9912840402050487
Ut1,连续10秒_55,55.02,65.02000000000001,0,0.997312268561601,0.19411165889359375,7.339518005437858,1.0009291954185437,0.9982287815947144
Ut1,连续10秒_55,55.02,65.02000000000001,1,0.9991457574915794,0.10949001346394209,4.1399055049792155,1.0008666788487464,1.000004518390339
Ut1,连续10秒_65,65.02,75.02000000000001,0,0.9946291308131351,0.1486331640642419,10.381352901370473,0.9867337028382401,0.9814156146233278
Ut1,连续10秒_65,65.02,75.02000000000001,1,0.9973233467611187,0.10568819056821674,7.381841130164792,0.9874480388163871,0.9847742256056266
Ut2,全段去边缘5秒,5.02,80.54,0,0.9949400052859276,0.12531473488066186,10.047735059111544,0.9937956226293027,0.9887670170131376
